codice,mnemonico,descrizione,prezzo_eur,service,note,regime
30,GOT,TRANSAMINASI (AST/GOT),2.50,,,privato
10056,TRANS,TRANSFERRINA,5.00,,,privato
10318,TRANSA,TRANSGLUTAMINASI IgA,20.00,,,privato
12511,TRANSG,TRANSGLUTAMINASI IgG,20.00,,,privato
54,TRIG,TRIGLICERIDI,2.50,,,privato
Tropoi,Tropoi,TROPONINA,20.00,,,privato
285,TSH,TSH (TIREOTROPINA),13.00,,,privato
Tshref,Tshref,TSH REFLEX,20.00,,,privato
3,URIC,URICEMIA,2.50,,,privato
125,URICU,URICURIA,2.50,,,privato
202007,Uricurin,Uricuria ( Urine Del Mattino ),2.50,,NON USARE,privato
157,VES,V.E.S.,2.50,,,privato
62,VDRL,VDRL,3.50,,,privato
1980,Ebv rapido,Virus Ebv Anticorpi Eterofili ( Test Rapido ),10.00,,,privato
10068,B12,VITAMINA B12,15.50,,,privato
10108,VITD,Vitamina D totale (25 OH),17.00,,,privato
35,GGT,YGT,3.00,,,privato
II4,II4,Interleuchina 4 / 10,100.00,10,sez. Bios,privato
12292,11DCB,11-DEOSSICORTISOLO/10,80.00,10,sez. Bios,privato
12336,U17K3,17 - CHETOSTEROIDI URINARI 17KS/10,18.00,10,sez. Bios,privato
160000,Ui7oh,17-IDROSSICORTICOIDI URINARI/10,15.00,10,sez. Bios,privato
12487,21ID1,A.A. 21 IDROSSILASI/10,76.00,10,sez. Bios,privato
12521,AASC1,A.A. ASCA IgA/10,20.00,10,sez. Bios,privato
12522,ASCG1,A.A. ASCA IgG/10,20.00,10,sez. Bios,privato
12457,CNC1B,A.A. CANALE DEL CALCIO/10,220.00,10,sez. Bios,privato
A.A.K,A.A.K,A.A. Canale Del Potassio /10,75.00,10,sez. Bios,privato
A.a.cute,A.a.cute,A.A. Cute/10,15.00,10,sez. Bios,privato
12337,1DESM,A.A. DESMOGLEINA - 1/10,42.00,10,sez. Bios,privato
12338,3DESM,A.A. DESMOGLEINA - 3/10,42.00,10,sez. Bios,privato
12564,FOSF3,A.A. FOSFOLIPIDI/10,94.00,10,sez. Bios,privato
10273,LKM1,A.A. LKM/10,15.00,10,sez. Bios,privato
310,AAMT1,A.A. MITOCONDRIO ( AMA )/10,40.00,10,sez. Bios,privato
10159,Antimi,A.A. Mitocondrio/10,40.00,10,sez. Bios,privato
12185,MSAB2,A.A. MUSCOLO STRIATO/10,15.00,10,sez. Bios,privato
12409,MUSK1,A.A. MuSK/10,174.00,10,sez. Bios,privato
Pla2r,Pla2r,A.A. Recettore Fosfolipasi A2 (PLA 2R)/10,60.00,10,sez. Bios,privato
18040,Retab,A.A. Reticolina/10,18.00,10,sez. Bios,privato
Trichi,Trichi,A.A. Trichinella/10,40.00,10,sez. Bios,privato
12118,ABPA1,A.A.Cellula Insulare( ICA )/10,23.00,10,sez. Bios,privato
10367,10367,A.A.CELLULA PARIETALE (APCA) IgA /10,24.00,10,sez. Bios,privato
10368,APCA1,A.A.CELLULA PARIETALE (APCA) IgG /10,24.00,10,sez. Bios,privato
10171,CEAB1,A.A.CENTROMERO ( ACA )/10,22.00,10,sez. Bios,privato
12117,IA2B/10,A.A.IA2/10,70.00,10,sez. Bios,privato
12120,IAAB,A.A.INSULINA ( IAA )/10,23.00,10,sez. Bios,privato
12214,AIPOF,A.A.IPOFISI/10,28.00,10,sez. Bios,privato
17030,Mbg,A.A.Membrana Basale Del Glomerulo/10,29.00,10,sez. Bios,privato
10262,AAML1,A.A.MUSCOLO LISCIO ( ASMA )/10,18.60,10,sez. Bios,privato
10163,AANU2,A.A.NUCLEO ( ANA )/10,15.82,10,sez. Bios,privato
12213,OVAB2,A.A.OVAIO/10,17.00,10,sez. Bios,privato
12129,PIAB1,A.A.PIASTRINE Test Indiretto/10,150.00,10,sez. Bios,privato
10443,ACABB,A.A.RECETTORI ACETILCOLINA/10,48.00,10,sez. Bios,privato
220000,Siasu,A.A.Spermatozoo ( L. Seminale )/10,55.00,10,sez. Bios,privato
10395,SIASS,A.A.SPERMATOZOO ( SANGUE )/10,55.00,10,sez. Bios,privato
12222,TETA2,A.A.TETANO IgG/10,28.00,10,sez. Bios,privato
10276,AAMC3,A.A.TIROIDE ( MICROSOMIALI )/10,29.00,10,sez. Bios,privato
Ala deidra,Ala deidra,A.L.A. Deidrasi Eritrocitaria/10,20.00,10,sez. Bios,privato
Anti-viii,anti-viii,Ab Anti-Fattore VIII /10,35.00,10,sez. Bios,privato
Dengue g,Dengue g,Ab Virus Dengue IgG /10,38.00,10,sez. Bios,privato
Dengue M,Dengue M,Ab Virus Dengue IgM /10,38.00,10,sez. Bios,privato
10539,SERO3,AC. 5-OH INDOLACETICO ( 5HIAA )/10,28.00,10,sez. Bios,privato
10387,AIPM2,AC. IPPURICO/METILIPPURICO/10,26.00,10,sez. Bios,privato
12519,UOMOV,AC. OMOVANILLICO URINARIO/10,32.00,10,sez. Bios,privato
12555,UACF1,AC. S-FENILMERCAPTURICO URINARIO/10,53.00,10,sez. Bios,privato
12575,TCAB,AC. TRICLOROACETICO URINARIO/10,25.00,10,sez. Bios,privato
10491,UVMAB,AC. VANILMANDELICO URINARIO/10,32.00,10,sez. Bios,privato
10397,TTMU2,AC.T.T. MUCONICO URINARIO/10,42.00,10,sez. Bios,privato
10548,ACEB,ACE ( ANGIOTENSI CONV. ENZYME )/10,24.00,10,sez. Bios,privato
12008,ACBI,ACIDI BILIARI/10,24.00,10,sez. Bios,privato
Agcl,Agcl,Acidi Grassi A Catena Lunga /10,87.00,10,sez. Bios,privato
15000006,Uorgb,Acidi Organici Urinari/10,280.00,10,sez. Bios,privato
12291,MEMAB,ACIDO METIL MALONICO/10,73.00,10,sez. Bios,privato
1026,ACVA2,ACIDO VALPROICO/10,15.50,10,sez. Bios,privato
ACQUI,ACQUI,Acquaporina 4 Anticorpi - IgG /10,120.00,10,sez. Bios,privato
1023,ACTH,ACTH ( CORTICOTROPINA )/10,25.00,10,sez. Bios,privato
10116,10116,Adenovirus Anticorpi IgA/10 (NON USARE),20.00,10,NON USARE; sez. Bios,privato
10117,ADEG,Adenovirus Anticorpi IgG/10 (NON USARE),20.00,10,NON USARE; sez. Bios,privato
10118,ADEM,Adenovirus Anticorpi IgM/10 (NON USARE),20.00,10,NON USARE; sez. Bios,privato
Adip,Adip,Adiponectina /10,85.00,10,sez. Bios,privato
1234567,Agfr,Agglutinine Da Freddo/10,36.00,10,sez. Bios,privato
12411,UALAB,ALA ( AC.D.AMINOLEVULINICO ) URINARIO/10,28.00,10,sez. Bios,privato
21502,Albuu,Albumina Urine 24H/10,15.00,10,sez. Bios,privato
10168,CDT,"ALCOOL, Abuso cronico (CDT) TRANSF.DESIAL./10",22.00,10,sez. Bios,privato
Alcooluri,Alcoolur,Alcooluria/10,24.00,10,sez. Bios,privato
12064,EALDB,ALDOLASI/10,14.00,10,sez. Bios,privato
10268,PAB2,ALDOSTERONE A RIP. CLINOSTAT./10,17.07,10,sez. Bios,privato
10269,PA2,ALDOSTERONE DOPO MOTO ORTOSTAT./10,17.07,10,sez. Bios,privato
10417,PAU3,ALDOSTERONE URINARIO/10,17.07,10,sez. Bios,privato
486,ALD,ALDOSTERONE/10,17.07,10,sez. Bios,privato
10438,EANTR,ALFA 1 ANTITRIPSINA/10,15.50,10,sez. Bios,privato
10501,EMUCO,Alfa 1 Glicoproteina (Mucoproteine) /10,18.00,10,sez. Bios,privato
81,EA1G,ALFA 1 GLICOPROTEINA ACIDA/10,16.00,10,sez. Bios,privato
23045,Alfamic,ALFA 1 MICROGLOBULINA URINARIA/10,28.00,10,sez. Bios,privato
16036,Alfa2ma,Alfa 2 Macroglobulina/10,14.00,10,sez. Bios,privato
12345,F76,ALFA LATTOALBUMINA ( F76 nBOS d4 )/10,38.00,10,sez. Bios,privato
12486,EALLU,ALLUMINIO PLASMATICO/10,24.00,10,sez. Bios,privato
13106,Allu,Alluminio Urinario/10,24.00,10,sez. Bios,privato
Ameba,Ameba,Ameba Anticorpi /10,60.00,10,sez. Bios,privato
16501,16501,Amilasi Isoenzimi /10,72.00,10,sez. Bios,privato
AMINO,AMINO,AMINOACIDI PLASMATICI /10,200.00,10,sez. Bios,privato
Aau,Aau,AMINOACIDI URINARI /10,360.00,10,sez. Bios,privato
1206a,Amiodarone,Amiodarone E Metabolita /10,86.00,10,sez. Bios,privato
10411,EAMM1,AMMONIO PLASMATICO/10,12.00,10,sez. Bios,privato
12293,AND3B,ANDROSTENEDIOLO 3 ALFA/10,18.00,10,sez. Bios,privato
10094,D43,ANDROSTENEDIONE DELTA 4/10,24.28,10,sez. Bios,privato
