presente_su_spoki,citta,provincia,regione,indirizzo,libreria,appellativo_1,appellativo_2,appellativo_3,tag_libreria,messaggio_trigger,template_benvenuto
sì,Valmontone,RM,Lazio,Via della Pace,Valmontone CC,Valmontone Outlet,,,790 - Roma Valmontone,Desidero contattare Feltrinelli Libreria Valmontone CC Via della Pace.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Valmontone CC, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Sesto Fiorentino,FI,Toscana,CC Centro Sesto,Sesto Fiorentino CC,,,,791 - Sesto Fiorentino CC,Desidero contattare Feltrinelli Libreria Sesto Fiorentino CC Centro Sesto.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Sesto Fiorentino CC, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Rodengo Saiano,BS,Lombardia,Franciacorta Village,Franciacorta Village,Rodengo Saiano,,,792 - Franciacorta,Desidero contattare Feltrinelli Libreria Franciacorta Village.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Franciacorta Village, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Montebello della Battaglia,PV,Lombardia,CC Montebello,Montebello CC Montebello,,,,793 - Montebello,Desidero contattare Feltrinelli Libreria Montebello della Battaglia CC Montebello.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Montebello CC Montebello, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Martignacco,UD,Friuli Venezia Giulia,CC Città Fiera,Martignacco CC C. Fiera,,,,795 - Martignacco CC Città Fiera,Desidero contattare Feltrinelli Libreria Martignacco CC Città Fiera.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Martignacco CC C. Fiera, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Milano,MI,Lombardia,Stazione Porta Garibaldi,Milano St. Garibaldi,piazza Freud,,,801 - Milano Garibaldi,Desidero contattare Feltrinelli Libreria Milano Stazione Garibaldi.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Milano St. Garibaldi, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Napoli,NA,Campania,Stazione Centrale,Napoli St. Centrale,Napoli Garibaldi,,,806 - Napoli Garibaldi,Desidero contattare Feltrinelli Libreria Napoli Stazione Centrale.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Napoli St. Centrale, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Torino,TO,Piemonte,Stazione Porta Nuova,Torino St. Porta Nuova,Porta Nuova,,,807 - Torino Stazione Porta Nuova,Desidero contattare Feltrinelli Libreria Torino Stazione Porta Nuova.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Torino St. Porta Nuova, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Milano,MI,Lombardia,Stazione Centrale,Milano St. Centrale,Piazza Duca d'Aosta,Centrale,,808 - Milano Centrale,Desidero contattare Feltrinelli Libreria Milano Stazione Centrale.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Milano St. Centrale, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Napoli,NA,Campania,Aeroporto Capodichino,Napoli Aer. Capodichino,,,,809 - Napoli Aeroporto Capodichino,Desidero contattare Feltrinelli Libreria Napoli Aeroporto Capodichino.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Napoli Aer. Capodichino, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Firenze,FI,Toscana,Stazione Santa Maria Novella,Firenze St. S.M. Novella,,,,811 - Firenze Stazione SMN,Desidero contattare Feltrinelli Libreria Firenze Stazione S. M. Novella.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Firenze St. S.M. Novella, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Milano,MI,Lombardia,"Piazza Gae Aulenti, 1",Milano Gae Aulenti,Porta Nuova,,,3502 - Milano Gae Aulenti,Desidero contattare Feltrinelli Libreria Milano Piazza Gae Aulenti.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Milano Gae Aulenti, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Milano,MI,Lombardia,CityLife,Milano CityLife,Tre Torri,,,3508 - Milano Citylife,Desidero contattare Feltrinelli Libreria Milano CityLife.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Milano CityLife, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Milano,MI,Lombardia,"Viale Sabotino, 28",Milano Sabotino,Porta Romana,,,3509 - Milano Sabotino,Desidero contattare Feltrinelli Libreria Milano Viale Sabotino.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Milano Sabotino, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
