presente_su_spoki,citta,provincia,regione,indirizzo,libreria,appellativo_1,appellativo_2,appellativo_3,tag_libreria,messaggio_trigger,template_benvenuto
sì,Napoli,NA,Campania,Piazza dei Martiri,Napoli Martiri,Santa Caterina,Chiaia,Martiri,550 - Napoli Martiri,Desidero contattare Feltrinelli Libreria Napoli Piazza dei Martiri.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Napoli Martiri, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Milano,MI,Lombardia,"Piazza Piemonte, 2",Milano Piemonte,Corso Vercelli,Wagner,,551 - Milano Piemonte,Desidero contattare Feltrinelli Libreria Milano Piazza Piemonte.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Milano Piemonte, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Milano,MI,Lombardia,"Corso Buenos Aires, 33",Milano Buenos Aires,"Corso Buenos Aires, 33",Baires,,552 - Milano Baires,Desidero contattare Feltrinelli Libreria Milano Corso Buenos Aires.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Milano Buenos Aires, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Bari,BA,Puglia,"Via Melo, 119",Bari Melo,Bari centro,,,554 - Bari Melo,Desidero contattare Feltrinelli Libreria Bari Via Melo.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Bari Melo, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roma,RM,Lazio,"Largo di Torre Argentina, 5",Roma Argentina,,,,555 - Roma Argentina,Desidero contattare Feltrinelli Libreria Roma Largo di Torre Argentina.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roma Argentina, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roma,RM,Lazio,"Viale Giulio Cesare, 88",Roma G. Cesare,Ottaviano,,,556 - Roma G. Cesare,Desidero contattare Feltrinelli Libreria Roma Viale Giulio Cesare.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roma G. Cesare, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Torino,TO,Piemonte,"Piazza C.L.N., 251",Torino C.L.N.,Piazza San Carlo,CLN,Via Roma,557 - Torino,Desidero contattare Feltrinelli Libreria Torino Piazza C.L.N..,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Torino C.L.N., una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roma,RM,Lazio,"Viale Marconi, 176/194",Roma Marconi,,,,558 - Roma Marconi,Desidero contattare Feltrinelli Libreria Roma Viale Marconi.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roma Marconi, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Mestre,VE,Veneto,CC Ca' Mestre,Mestre CC Ca' Mestre,Le Barche,,,559 - Mestre CC Ca' Mestre,Desidero contattare Feltrinelli Libreria Mestre CC Ca' Mestre.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Mestre CC Ca' Mestre, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roma,RM,Lazio,"Viale Libia, 186",Roma Libia,,,,560 - Roma Libia,Desidero contattare Feltrinelli Libreria Roma Viale Libia.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roma Libia, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roma,RM,Lazio,"Via Appia Nuova, 427",Roma Appia,Tuscolana,,,561 - Roma Appia,Desidero contattare Feltrinelli Libreria Roma Via Appia Nuova.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roma Appia, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Bergamo,BG,Lombardia,"Via XX Settembre, 55",Bergamo,,,,563 - Bergamo,Desidero contattare Feltrinelli Libreria Bergamo Via XX Settembre.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Bergamo, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Palermo,PA,Sicilia,"Via Cavour, 133",Palermo,via Cavour,,,564 - Palermo,Desidero contattare Feltrinelli Libreria Palermo Via Cavour.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Palermo, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Brescia,BS,Lombardia,"Corso Zanardelli, 3",Brescia,,,,565 - Brescia,Desidero contattare Feltrinelli Libreria Brescia Corso Zanardelli.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Brescia, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Genova,GE,Liguria,"Via Ceccardi, 16/24",Genova,,,,566 - Genova,Desidero contattare Feltrinelli Libreria Genova Via Ceccardi.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Genova, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Salerno,SA,Campania,"Corso Vittorio Emanuele, 230",Salerno,,,,567 - Salerno,Desidero contattare Feltrinelli Libreria Salerno Corso Vittorio Emanuele.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Salerno, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Catania,CT,Sicilia,"Via Etnea, 283",Catania,,,,568 - Catania,Desidero contattare Feltrinelli Libreria Catania Via Etnea.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Catania, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Latina,LT,Lazio,"Via Diaz, 10",Latina,,,,569 - Latina,Desidero contattare Feltrinelli Libreria Latina Via Diaz.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Latina, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Verona,VR,Veneto,"Via Quattro Spade, 2",Verona,,,,570 - Verona,Desidero contattare Feltrinelli Libreria Verona Via Quattro Spade.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Verona, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Parma,PR,Emilia Romagna,"Via Farini, 17",Parma Farini,,,,571 - Parma,Desidero contattare Feltrinelli Libreria Parma Via Farini.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Parma Farini, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Milano,MI,Lombardia,Galleria Vittorio Emanuele II,Milano Duomo Galleria,Via Foscolo,,,572 - Milano Duomo,Desidero contattare Feltrinelli Libreria Milano Galleria Vittorio Emanuele II.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Milano Duomo Galleria, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roma,RM,Lazio,Piazza Pio XI,Roma Pio XI,Pio,,,573 - Roma Pio XI,Desidero contattare Feltrinelli Libreria Roma Piazza Pio XI.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roma Pio XI, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Milano,MI,Lombardia,Milano Piazza Lima,Milano Lima,"Corso Buenos Aires, 49-51",Bubble,Book Bubble,574 - Milano Lima,Desidero contattare Feltrinelli Libreria Milano Piazza Lima.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Milano Lima, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
no,Linate,,Lombardia,-,-,,,,-,-,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria -, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
no,Malpensa T1 International,,Lombardia,-,-,,,,-,-,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria -, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
no,Malpensa,,Lombardia,-,-,,,,-,-,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria -, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
no,Malpensa T2,,Lombardia,-,-,,,,-,-,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria -, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
no,Fiumicino,,Lazio,-,-,,,,-,-,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria -, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Casalecchio di Reno,BO,Emilia Romagna,CC Gran Reno,Casalecchio CC Gran Reno,Gran Reno,,,740 - Casalecchio CC Gran Reno,Desidero contattare Feltrinelli Libreria Casalecchio CC Gran Reno.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Casalecchio CC Gran Reno, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Casamassima,BA,Puglia,CC Casamassima,Casamassima CC,,,,741 - Casamassima CC Casamassima,Desidero contattare Feltrinelli Libreria Casamassima CC Casamassima.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Casamassima CC, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Curno,BG,Lombardia,CC Curno,Curno CC Curno,,,,743 - Curno,Desidero contattare Feltrinelli Libreria Curno CC Curno.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Curno CC Curno, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
